登録番号	用途	農薬の種類	農薬の名称	略称	作物名	適用場所	適用病害虫雑草名	使用目的	希釈倍数使用量	散布液量	使用時期	本剤の使用回数	使用方法	くん蒸時間	くん蒸温度	適用土壌	適用地帯名	適用農薬名	混合数	有効成分①を含む農薬の総使用回数	有効成分②を含む農薬の総使用回数	有効成分③を含む農薬の総使用回数	有効成分④を含む農薬の総使用回数	有効成分⑤を含む農薬の総使用回数
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	とうがらし類	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	にんじん	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ﾋﾟｰﾏﾝ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	だいこん	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ｱｽﾊﾟﾗｶﾞｽ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ｵﾘｰﾌﾞ(葉)	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	しゃくやく(薬用)	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	たらのき	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	びわ(葉)	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ほうれんそう	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ﾚﾀｽ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ﾄﾏﾄ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	きゅうり	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	なす	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	薬用にんじん	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	10回以内(1年間に2回以内)				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ねぎ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	ねぎ	-	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	耕起7日前まで(雑草生育期)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	たまねぎ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	たまねぎ	-	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	耕起又は定植7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	えだまめ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	えだまめ	-	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	は種後出芽前(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	豆類(種実､ただし､だいず､らっかせいを除く)	-	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	耕起前又はは種前まで(雑草生育期)	2回以内	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	だいず	-	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	は種10日以前(雑草生育期)	2回以内	雑草茎葉散布						1	4回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	だいず	-	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	は種後出芽前まで(雑草生育期:草丈30cm以下)	2回以内	雑草茎葉散布						1	4回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	かんしょ	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起前(雑草生育期)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	いも類(かんしょを除く)	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起前又は植付前まで(雑草生育期：草丈30cm以下)	1回	雑草茎葉散布						1	1回				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	茶	-	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	摘採7日前まで(雑草生育期)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	さとうきび	圃場内の周縁部	一年生雑草		250～500mL/10a	少量散布25～50㍑/10a	収穫30日前まで(雑草生育期)	1回	雑草茎葉散布						1	6回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	さとうきび	圃場内の周縁部	多年生雑草		500～1000mL/10a	少量散布25～50㍑/10a	収穫30日前まで(雑草生育期)	1回	雑草茎葉散布						1	6回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	飼料用とうもろこし	-	一年生及び多年生雑草		250～500mL/10a	50～100㍑/10a	耕起前又はは種前まで(雑草生育期：草丈30cm以下)	2回以内	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	飼料用とうもろこし	-	一年生及び多年生雑草		250～500mL/10a	50～100㍑/10a	は種後出芽前まで(雑草生育期：草丈30cm以下)	2回以内	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	牧草	牧野､草地(更新･造成)	一年生雑草		250～500mL/10a	50㍑/10a	更新･造成の10日以前(雑草生育期)	2回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	牧草	牧野､草地(更新･造成)	多年生雑草		500～1000mL/10a	50㍑/10a	更新･造成の10日以前(雑草生育期)	2回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	牧草	牧野､草地(更新･造成)	一年生及び多年生雑草		250～500mL/10a	50㍑/10a	は種10日前～は種当日(耕起整地後)(雑草発生揃期)	2回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	林木	造林地(地ごしらえ)	ｽｽｷ､ｻｻ類等の多年生雑草		1000mL/10a	30㍑/10a	生育盛期以降(夏～秋期)	1回	雑草木茎葉散布						1	1回				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	林木	造林地(地ごしらえ)	落葉雑かん木		1000mL/10a	30㍑/10a	生育盛期以降(夏～秋期)	1回	雑草木茎葉散布						1	1回				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	つつじ類	-	一年生雑草		250～500mL/10a	50～100㍑/10a	雑草生育期(草丈30cm以下)	4回以内	雑草茎葉散布						1	4回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	樹木等	公園､庭園､堤とう､駐車場､道路､運動場､宅地､のり面､鉄道等	一年生雑草		500mL/10a	100㍑/10a	雑草生育期(草丈30cm以下)	3回以内	植栽地を除く樹木等の周辺地に雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	樹木等	公園､庭園､堤とう､駐車場､道路､運動場､宅地､のり面､鉄道等	多年生雑草		1000mL/10a	100㍑/10a	雑草生育期(草丈30cm以下)	3回以内	植栽地を除く樹木等の周辺地に雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	樹木等	公園､庭園､堤とう､駐車場､道路､運動場､宅地､のり面､鉄道等	ｽｷﾞﾅ		2000mL/10a	50～100㍑/10a	雑草生育期	3回以内	植栽地を除く樹木等の周辺地に雑草茎葉散布						1	3回以内				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	林木	林地	ｸｽﾞ･ﾌｼﾞ等のつる類		原液又は2倍液	つる径(cm) 使用量(mL/株) 2cm以下 0.5mL/株､2.1～3.0cm 1.0mL/株､3.1～4.0cm 1.5mL/株､4.1～5.0cm 2.0mL/株､5.1cm以上 適宜増量	生育初期	1回	つる注入処理						1	1回				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	果樹類(かんきつを除く)	-	一年生雑草		250～500mL/10a	通常散布50～100㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	林木	林地､放置竹林	竹類		原液	5～10mL/本	夏期	1回	竹稈注入処理						1	1回				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	果樹類(かんきつを除く)	-	多年生雑草		500～1000mL/10a	通常散布50～100㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	かんきつ	-	一年生雑草		250～500mL/10a	通常散布50～100㍑/10a少量散布25～50㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	5回以内				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	かんきつ	-	多年生雑草		500～1000mL/10a	通常散布50～100㍑/10a少量散布25～50㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	5回以内				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	水田作物､畑作物(休耕田)	休耕田	一年生雑草		250～500mL/10a	50～100㍑/10a	雑草生育期(草丈30cm以下)	2回以内	雑草茎葉散布						1	3回以内				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	水田作物､畑作物(休耕田)	休耕田	多年生雑草		500～1000mL/10a	50～100㍑/10a	雑草生育期(草丈30cm以下)	2回以内	雑草茎葉散布						1	3回以内				
20998	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ﾊｰﾌﾞ･ﾆｰﾄ液剤	ﾌｫﾜｰﾄﾞ	水田作物(水田畦畔)	水田畦畔	一年生雑草		250～500mL/10a	50～100㍑/10a	収穫14日前まで(雑草生育期:草丈30cm以下)	2回以内	雑草茎葉散布						1	3回以内				
